Customer_ID,Age,Gender,Region,Customer_Segment,Total_Purchases,Satisfaction_Score,Join_Date,Last_Purchase
CUST_00065,73,Female,North,Budget,2.62,6.0,2023-12-22,2024-10-04
CUST_00066,37,Female,West,Standard,11.0,9.5,2023-06-24,2024-01-09
CUST_00067,41,Male,South,Budget,3.76,4.4,2024-02-28,2023-05-08
CUST_00068,23,Female,North,Premium,14.72,10.0,2023-11-09,2024-06-06
CUST_00069,23,Male,West,Standard,5.87,6.7,2023-02-07,2024-06-22
CUST_00070,28,Female,South,Standard,3.4,7.4,2023-05-06,2024-11-16
CUST_00071,69,Female,East,Standard,2.86,8.2,2024-03-24,2024-11-29
CUST_00072,41,Male,North,Budget,1.66,3.6,2024-09-03,2024-05-29
CUST_00073,18,Female,North,Standard,4.69,6.6,2023-03-01,2023-07-03
CUST_00074,18,Female,South,Standard,20.43,5.5,2023-04-29,2023-11-26
CUST_00075,48,Female,East,Budget,1.22,6.3,2024-09-19,2023-07-22
CUST_00076,46,Male,North,Standard,7.75,8.1,2023-02-11,2024-02-21
CUST_00077,60,Female,West,Budget,1.82,5.7,2024-09-12,2024-11-07
CUST_00078,36,Female,South,Standard,13.53,5.2,2023-05-22,2023-04-08
CUST_00079,50,Female,North,Standard,7.59,5.7,2023-04-12,2024-01-12
CUST_00080,52,Male,South,Standard,6.76,6.9,2023-05-31,2023-02-06
CUST_00081,39,Female,North,Standard,9.58,7.1,2024-02-07,2023-02-04
CUST_00082,18,Female,North,Premium,5.19,7.7,2023-03-23,2024-10-19
CUST_00083,45,Male,North,Standard,3.4,5.6,2023-07-02,2023-09-29
CUST_00084,79,Male,South,Budget,1.03,7.2,2024-12-10,2023-11-19
CUST_00085,18,Female,South,Standard,14.55,10.0,2023-09-20,2023-07-25
CUST_00086,46,Female,North,Premium,5.9,7.1,2023-04-18,2023-05-20
CUST_00087,47,Female,East,Standard,4.06,7.6,2024-01-23,2023-01-09
CUST_00088,27,Male,West,Standard,4.27,6.4,2023-04-02,2023-07-17
CUST_00089,54,Female,West,Budget,1.75,4.9,2024-03-27,2024-01-27
CUST_00090,23,Male,East,Standard,2.8,5.9,2023-05-24,2023-07-23
CUST_00091,18,Male,North,Standard,2.41,5.6,2023-11-21,2024-02-07
CUST_00092,69,Male,East,Premium,13.35,7.1,2024-05-21,2023-02-22
CUST_00093,27,Female,West,Premium,11.5,9.7,2023-07-24,2024-10-08
CUST_00094,40,Male,North,Budget,1.02,7.4,2024-12-10,2023-03-08
CUST_00095,59,Female,East,Budget,3.37,6.8,2024-06-11,2023-04-12
CUST_00096,37,Male,West,Standard,8.22,8.9,2024-05-19,2024-03-28
CUST_00097,52,Male,North,Budget,2.28,3.9,2024-02-20,2023-03-03
CUST_00098,37,Female,West,Standard,12.33,5.3,2024-09-16,2023-12-14
CUST_00099,31,Female,South,Standard,3.09,6.1,2024-04-07,2024-12-22
CUST_00100,35,Male,North,Budget,2.03,5.7,2023-12-29,2024-01-06
CUST_00101,56,Male,West,Standard,10.52,6.5,2023-06-20,2024-12-10
CUST_00102,31,Male,North,Standard,7.43,7.1,2023-04-23,2024-07-16
CUST_00103,45,Female,West,Standard,5.3,5.1,2024-04-01,2023-06-02
CUST_00104,45,Male,West,Premium,11.37,5.9,2024-03-30,2023-12-25
CUST_00105,38,Male,West,Premium,14.64,4.8,2024-08-15,2023-09-07
CUST_00106,43,Male,South,Premium,38.39,6.9,2024-06-15,2023-01-06
CUST_00107,53,Male,North,Budget,2.99,4.7,2024-07-14,2023-12-30
CUST_00108,39,Male,South,Standard,3.37,6.0,2023-02-23,2023-11-16
CUST_00109,51,Female,East,Standard,9.54,5.1,2023-01-24,2024-01-12
CUST_00110,29,Male,North,Standard,2.89,6.3,2023-06-28,2023-07-27
CUST_00111,48,Female,South,Budget,4.44,6.2,2023-06-15,2023-03-27
CUST_00112,54,Male,North,Standard,3.68,5.5,2023-12-28,2023-12-12
CUST_00113,41,Female,South,Premium,6.76,5.0,2023-01-16,2024-08-09
CUST_00114,48,Female,West,Budget,4.82,7.1,2024-11-10,2024-06-25
CUST_00115,43,Male,South,Standard,16.91,7.9,2023-03-02,2023-04-27
CUST_00116,57,Female,South,Budget,3.4,7.3,2024-08-19,2023-08-06
CUST_00117,51,Male,East,Budget,2.89,5.4,2024-04-29,2023-03-29
CUST_00118,18,Female,North,Standard,8.33,4.5,2024-08-21,2023-03-15
CUST_00119,50,Female,South,Premium,5.47,5.3,2024-03-16,2024-04-01
CUST_00120,20,Female,West,Standard,3.87,6.6,2024-04-10,2024-10-02
CUST_00121,63,Female,North,Budget,2.74,5.8,2024-11-29,2023-07-20
CUST_00122,26,Male,West,Standard,12.24,5.8,2024-07-14,2023-07-21
CUST_00123,51,Male,East,Standard,3.07,7.5,2024-01-12,2024-05-05
CUST_00124,44,Female,West,Budget,8.74,4.4,2023-07-18,2024-02-15
CUST_00125,50,Male,West,Premium,7.51,6.7,2024-04-04,2024-12-21
CUST_00126,43,Male,East,Budget,1.1,6.1,2023-12-26,2024-07-15
CUST_00127,51,Female,North,Standard,2.17,8.0,2023-08-02,2024-10-03
CUST_00128,29,Male,West,Budget,4.6,4.2,2023-12-10,2023-11-20
CUST_00129,36,Male,South,Budget,4.18,4.3,2024-01-18,2023-11-05
CUST_00130,18,Female,West,Standard,7.72,9.0,2023-07-06,2023-08-15
CUST_00131,42,Male,South,Standard,2.81,8.1,2024-09-02,2024-05-01
CUST_00132,33,Male,East,Standard,11.12,7.0,2024-08-03,2024-06-16
CUST_00133,45,Male,West,Premium,6.61,6.1,2023-01-30,2024-03-03
CUST_00134,42,Male,South,Standard,2.54,7.1,2024-03-14,2023-12-08
CUST_00135,51,Male,North,Premium,16.83,5.9,2024-09-11,2024-01-04
CUST_00136,39,Male,East,Standard,6.93,7.1,2023-06-08,2023-05-30
CUST_00137,43,Male,South,Budget,5.6,5.2,2023-05-12,2023-10-19
CUST_00138,20,Female,East,Budget,12.28,3.3,2023-10-23,2024-07-31
CUST_00139,62,Male,North,Budget,4.26,3.4,2023-03-08,2024-09-17
CUST_00140,52,Male,East,Standard,9.6,4.4,2024-12-15,2023-03-18
CUST_00141,55,Female,East,Standard,10.53,6.4,2023-09-28,2024-07-15
CUST_00142,36,Female,North,Standard,3.7,5.0,2024-07-05,2023-10-16
CUST_00143,46,Female,East,Standard,2.35,5.0,2023-02-08,2023-07-18
CUST_00144,33,Female,East,Standard,11.56,7.6,2023-08-10,2024-10-17
CUST_00145,23,Female,West,Standard,6.94,5.2,2024-06-28,2024-09-12
CUST_00146,43,Male,South,Standard,3.07,7.9,2024-06-20,2024-08-16
CUST_00147,22,Female,East,Standard,5.87,6.7,2024-07-02,2024-01-09
CUST_00148,36,Male,North,Standard,5.62,6.8,2024-01-07,2024-08-15
CUST_00149,44,Female,North,Budget,4.74,7.0,2024-06-11,2024-11-21
CUST_00150,54,Female,West,Standard,3.21,6.9,2024-05-04,2024-03-07
CUST_00151,18,Male,North,Standard,18.42,8.5,2023-03-29,2023-04-09
CUST_00152,35,Female,West,Premium,22.72,5.5,2024-08-17,2023-06-08
CUST_00153,21,Male,South,Standard,2.62,9.7,2023-04-10,2024-08-22
CUST_00154,53,Female,West,Standard,2.22,6.0,2023-02-26,2023-01-13
CUST_00155,50,Male,North,Budget,3.03,6.2,2024-01-26,2023-11-06
CUST_00156,43,Female,North,Standard,2.64,3.7,2024-06-27,2024-12-26
CUST_00157,35,Female,North,Premium,5.14,5.1,2024-03-13,2024-10-29
CUST_00158,25,Female,West,Standard,3.59,7.1,2024-07-10,2023-07-06
CUST_00159,22,Male,South,Budget,1.53,6.7,2023-04-14,2024-04-07
CUST_00160,26,Female,South,Standard,8.99,6.2,2024-08-10,2024-02-27
CUST_00161,29,Male,South,Standard,4.03,10.0,2024-12-21,2024-11-15
CUST_00162,18,Male,West,Standard,4.26,6.7,2024-07-11,2024-07-30
CUST_00163,52,Female,South,Budget,2.03,4.7,2023-05-15,2023-11-01
CUST_00164,72,Male,East,Standard,6.08,4.5,2023-08-11,2024-08-25
CUST_00165,40,Female,West,Premium,17.76,7.6,2024-02-11,2024-03-13
CUST_00166,68,Female,East,Standard,10.46,3.9,2024-12-01,2024-09-05
CUST_00167,46,Female,West,Premium,10.26,5.9,2023-11-06,2023-09-20
CUST_00168,56,Female,West,Standard,6.02,6.5,2023-03-25,2023-08-22
CUST_00169,52,Male,South,Standard,3.91,8.5,2024-02-06,2023-02-15
CUST_00170,20,Female,South,Standard,5.98,10.0,2023-12-17,2024-12-05
CUST_00171,37,Male,West,Standard,2.31,5.7,2023-01-21,2023-09-06
CUST_00172,26,Female,West,Premium,6.46,8.4,2024-06-19,2024-02-12
CUST_00173,28,Male,North,Standard,7.26,6.6,2023-02-17,2023-10-13
CUST_00174,23,Male,South,Standard,9.67,8.8,2024-11-04,2024-12-27
CUST_00175,26,Male,South,Premium,5.06,8.9,2024-01-27,2023-05-30
CUST_00176,31,Male,South,Budget,1.05,5.5,2023-12-04,2024-02-15
CUST_00177,31,Female,South,Premium,12.1,7.3,2024-02-13,2024-02-22
CUST_00178,29,Male,East,Budget,1.12,5.6,2023-06-30,2024-04-09
CUST_00179,28,Female,West,Standard,8.21,4.9,2023-04-01,2024-10-09
CUST_00180,51,Female,East,Premium,12.3,7.6,2024-08-23,2024-04-20
CUST_00181,50,Male,East,Premium,12.81,5.2,2024-04-22,2023-02-27
CUST_00182,75,Female,East,Premium,8.61,5.0,2024-02-22,2023-07-26
CUST_00183,56,Male,West,Standard,2.33,6.1,2023-04-26,2023-07-31
CUST_00184,19,Male,East,Budget,2.1,5.0,2024-10-04,2024-12-27
CUST_00185,18,Male,East,Premium,15.78,8.2,2024-12-04,2024-03-19
CUST_00186,18,Male,West,Standard,2.02,7.5,2023-08-22,2023-09-05
CUST_00187,55,Male,South,Standard,3.29,6.6,2024-02-23,2024-01-26
CUST_00188,45,Female,South,Standard,6.12,6.0,2024-04-11,2024-11-30
CUST_00189,28,Male,East,Standard,2.32,8.8,2023-03-08,2024-08-19
CUST_00190,48,Female,East,Budget,1.28,5.9,2024-05-16,2024-10-19
CUST_00191,43,Male,North,Budget,2.3,6.5,2024-06-27,2023-09-05
CUST_00192,22,Male,North,Premium,22.64,8.3,2023-05-01,2023-07-11
CUST_00193,46,Female,West,Standard,8.34,7.5,2023-03-17,2023-07-07
CUST_00194,36,Female,East,Standard,3.69,5.4,2023-08-18,2024-12-03
CUST_00195,38,Male,South,Premium,10.95,9.8,2024-10-16,2023-04-23
CUST_00196,50,Male,West,Standard,10.91,6.1,2023-09-20,2023-11-21
CUST_00197,46,Male,West,Standard,3.35,4.8,2023-01-20,2024-06-25
CUST_00198,38,Female,North,Standard,9.24,6.4,2023-05-19,2023-01-10
CUST_00199,27,Male,East,Standard,2.36,6.0,2024-12-20,2024-02-29
CUST_00200,42,Female,South,Premium,10.35,7.7,2023-09-26,2023-03-11
CUST_00201,28,Female,East,Premium,21.89,8.3,2023-12-03,2024-09-15
CUST_00202,57,Female,South,Premium,26.58,8.9,2024-07-28,2024-02-01
CUST_00203,20,Male,North,Standard,7.53,5.4,2023-10-14,2024-10-29
CUST_00204,42,Female,North,Standard,4.63,10.0,2024-10-25,2023-06-06
CUST_00205,36,Male,West,Standard,4.21,7.2,2024-09-08,2024-07-12
CUST_00206,36,Female,West,Standard,7.14,5.7,2024-02-02,2023-01-15
CUST_00207,50,Female,North,Premium,7.49,8.0,2023-10-27,2024-02-27
CUST_00208,47,Female,East,Premium,13.52,7.2,2023-07-05,2023-08-12
CUST_00209,63,Female,South,Standard,8.87,6.3,2024-06-06,2023-10-07
CUST_00210,33,Male,North,Standard,6.72,6.4,2024-09-27,2023-10-31
CUST_00211,45,Male,West,Standard,3.96,8.7,2023-08-15,2024-03-31
CUST_00212,58,Female,West,Standard,10.63,7.1,2024-06-04,2023-11-16
CUST_00213,48,Female,West,Standard,2.47,5.6,2024-08-26,2024-06-10
CUST_00214,53,Male,West,Budget,3.8,8.5,2024-11-26,2023-02-04
CUST_00215,59,Female,East,Standard,3.97,6.7,2023-09-10,2024-05-02
CUST_00216,62,Male,North,Standard,8.78,7.4,2023-08-03,2023-06-03
CUST_00217,32,Male,North,Budget,1.49,7.8,2023-04-29,2023-12-25
CUST_00218,53,Female,East,Premium,12.66,7.5,2024-10-08,2024-05-10
CUST_00219,45,Male,South,Budget,2.66,3.6,2023-05-11,2023-01-22
CUST_00220,31,Male,West,Premium,5.49,7.7,2023-04-11,2023-05-28
CUST_00221,44,Female,North,Budget,1.64,3.8,2024-08-30,2024-07-27
CUST_00222,34,Male,North,Premium,10.2,9.9,2024-06-07,2023-06-02
CUST_00223,53,Female,North,Premium,9.35,9.9,2024-10-17,2023-03-21
CUST_00224,31,Female,East,Standard,7.33,5.5,2024-08-08,2024-07-20
CUST_00225,57,Female,East,Premium,5.99,7.5,2024-02-28,2023-01-19
CUST_00226,53,Female,East,Standard,7.68,4.1,2023-09-11,2024-09-18
CUST_00227,37,Male,South,Budget,1.32,3.0,2024-10-14,2023-02-16
CUST_00228,53,Female,East,Standard,6.94,5.9,2024-01-11,2023-01-09
CUST_00229,35,Female,South,Standard,10.02,5.2,2023-09-18,2024-06-15
CUST_00230,19,Male,West,Standard,3.5,7.2,2023-02-09,2023-10-14
CUST_00231,32,Female,East,Standard,8.92,6.0,2024-08-21,2023-04-18
CUST_00232,56,Male,East,Budget,1.55,5.3,2024-07-09,2023-09-08
CUST_00233,36,Female,North,Budget,1.64,3.8,2024-06-08,2023-06-07
CUST_00234,19,Male,West,Premium,6.26,8.8,2023-12-19,2023-12-30
CUST_00235,69,Male,South,Standard,5.76,7.8,2024-01-23,2023-07-21
CUST_00236,22,Male,East,Premium,15.83,6.2,2023-09-17,2023-02-08
CUST_00237,41,Female,North,Premium,14.75,5.6,2023-07-05,2024-06-30
CUST_00238,52,Female,East,Standard,2.47,4.9,2023-06-12,2024-07-04
CUST_00239,50,Male,East,Standard,30.1,4.1,2024-03-09,2024-09-02
CUST_00240,22,Female,North,Premium,29.89,7.7,2024-12-22,2024-10-08
CUST_00241,37,Male,North,Budget,4.08,4.9,2024-09-17,2024-01-03
CUST_00242,27,Female,East,Premium,16.17,7.4,2023-02-07,2023-07-26
CUST_00243,58,Female,South,Premium,6.79,7.4,2023-11-30,2024-01-08
CUST_00244,44,Male,East,Premium,7.04,6.5,2024-01-31,2023-02-21
CUST_00245,39,Female,West,Standard,8.52,4.6,2024-08-28,2023-11-17
CUST_00246,47,Female,South,Standard,2.98,7.7,2024-06-26,2023-11-20
CUST_00247,18,Female,West,Budget,2.27,6.4,2023-03-21,2023-09-28
CUST_00248,57,Female,North,Budget,4.47,5.8,2024-02-18,2023-09-17
CUST_00249,33,Female,South,Standard,2.04,7.3,2024-09-09,2024-01-21
CUST_00250,43,Male,North,Standard,19.86,5.9,2023-03-13,2023-12-10
CUST_00251,42,Female,East,Standard,14.07,6.3,2023-05-23,2023-11-07
CUST_00252,36,Female,North,Standard,7.23,7.3,2023-04-12,2023-11-10
CUST_00253,70,Male,South,Budget,1.49,7.8,2023-05-14,2023-01-30
CUST_00254,37,Female,East,Standard,5.76,4.7,2024-10-09,2024-10-13
CUST_00255,69,Female,East,Standard,5.45,7.3,2023-04-23,2024-11-25
CUST_00256,27,Male,West,Standard,2.61,4.7,2023-10-31,2024-05-27
CUST_00257,56,Female,North,Standard,13.4,6.3,2023-11-22,2023-09-10
CUST_00258,49,Male,West,Budget,1.15,8.1,2024-06-25,2024-08-27
CUST_00259,46,Female,North,Standard,11.78,5.2,2023-12-25,2024-06-26
CUST_00260,45,Male,North,Budget,1.66,6.4,2023-04-23,2023-07-14
CUST_00261,48,Female,West,Standard,8.23,8.5,2023-10-01,2024-02-07
CUST_00262,43,Female,North,Premium,10.56,9.0,2024-05-31,2024-11-09
CUST_00263,18,Male,North,Premium,58.56,8.3,2024-09-30,2024-12-10
CUST_00264,47,Male,East,Standard,3.61,7.8,2024-05-27,2023-10-04
CUST_00265,73,Female,West,Standard,7.22,6.6,2023-07-30,2023-12-09
CUST_00266,39,Female,East,Premium,8.92,4.8,2023-08-22,2024-06-03
CUST_00267,69,Female,South,Standard,2.62,5.3,2023-08-24,2023-08-09
CUST_00268,30,Male,South,Standard,6.13,8.2,2023-09-27,2023-02-23
CUST_00269,24,Male,North,Budget,1.17,10.0,2023-10-28,2024-12-04
CUST_00270,51,Female,West,Budget,2.69,4.6,2024-01-26,2023-04-02
CUST_00271,43,Female,West,Budget,1.65,4.6,2023-12-14,2023-06-24
CUST_00272,18,Female,West,Budget,4.18,5.7,2023-03-30,2024-03-31
CUST_00273,18,Female,East,Premium,5.66,5.8,2024-01-06,2023-11-09
CUST_00274,51,Male,East,Standard,4.15,5.3,2024-05-20,2023-06-12
CUST_00275,46,Male,East,Budget,2.32,1.8,2023-08-10,2024-01-11
CUST_00276,18,Female,South,Budget,1.67,6.6,2023-03-10,2024-12-21
CUST_00277,18,Female,West,Premium,24.6,8.3,2024-03-26,2024-02-26
CUST_00278,43,Female,South,Standard,5.52,4.6,2024-03-20,2024-09-03
CUST_00279,45,Female,South,Standard,25.19,5.4,2023-09-23,2023-03-03
CUST_00280,18,Female,North,Standard,2.49,7.1,2024-10-31,2024-12-25
CUST_00281,49,Male,North,Standard,11.09,5.2,2023-03-21,2024-03-27
CUST_00282,42,Female,South,Budget,4.25,5.4,2023-10-22,2023-05-10
CUST_00283,27,Female,North,Budget,8.57,6.1,2024-10-23,2024-05-14
CUST_00284,38,Female,East,Premium,5.81,7.5,2023-02-23,2023-11-28
CUST_00285,30,Female,East,Standard,8.65,6.1,2023-08-13,2024-09-05
CUST_00286,24,Male,East,Standard,5.37,8.0,2023-03-07,2023-05-11
CUST_00287,28,Male,East,Premium,28.1,6.6,2023-11-16,2024-10-14
CUST_00288,38,Female,South,Standard,10.27,6.8,2023-04-27,2023-05-27
CUST_00289,42,Male,West,Budget,3.02,2.8,2024-07-24,2024-06-12
CUST_00290,50,Female,West,Premium,9.01,6.9,2023-08-30,2023-03-05
CUST_00291,67,Female,West,Premium,21.94,6.7,2024-11-01,2024-12-29
CUST_00292,19,Female,East,Standard,4.08,7.7,2023-12-31,2023-07-22
CUST_00293,53,Male,East,Premium,9.95,4.6,2024-11-27,2023-05-27
CUST_00294,40,Male,South,Standard,5.92,6.6,2023-09-05,2023-05-12
CUST_00295,18,Female,North,Budget,6.77,4.1,2024-10-23,2023-11-26
CUST_00296,54,Male,East,Budget,2.66,9.4,2023-08-24,2024-02-01
CUST_00297,51,Male,North,Standard,3.26,7.5,2024-07-14,2023-12-02
CUST_00298,50,Female,West,Standard,2.91,6.6,2023-02-19,2023-06-13
CUST_00299,51,Female,West,Standard,3.74,7.5,2023-04-25,2023-07-08
CUST_00300,45,Female,North,Standard,4.43,7.0,2024-07-17,2023-09-02
CUST_00301,37,Female,West,Budget,3.43,5.4,2023-10-11,2024-09-14
CUST_00302,46,Male,East,Premium,5.38,6.9,2024-04-07,2024-08-02
CUST_00303,29,Male,North,Budget,1.74,5.7,2024-03-12,2023-01-11
CUST_00304,49,Male,South,Premium,16.15,7.9,2024-09-13,2023-11-24
CUST_00305,48,Male,East,Budget,4.51,4.9,2024-11-21,2024-10-28
CUST_00306,44,Male,North,Standard,4.08,4.5,2024-12-07,2024-01-07
CUST_00307,23,Female,North,Standard,2.83,8.5,2024-11-02,2023-01-09
CUST_00308,53,Female,East,Standard,13.38,6.0,2023-03-19,2023-06-01
CUST_00309,59,Female,West,Budget,9.22,5.0,2024-02-10,2023-04-25
CUST_00310,73,Male,East,Standard,7.2,8.3,2024-06-27,2024-12-25
CUST_00311,22,Female,East,Premium,12.15,5.2,2024-07-18,2023-05-28
CUST_00312,31,Female,South,Standard,5.27,7.0,2023-08-02,2023-12-26
CUST_00313,46,Male,East,Budget,2.97,5.2,2023-06-29,2023-08-11
CUST_00314,61,Male,West,Budget,1.21,7.7,2023-09-24,2024-12-30
CUST_00315,56,Male,South,Standard,6.03,8.8,2023-02-17,2024-02-22
CUST_00316,50,Female,South,Standard,3.71,6.1,2023-06-15,2024-01-14
CUST_00317,54,Male,South,Standard,4.78,5.3,2024-12-15,2024-06-28
CUST_00318,44,Male,North,Standard,3.03,4.1,2024-03-22,2024-03-03
CUST_00319,39,Female,North,Standard,11.65,5.6,2023-11-26,2024-08-24
CUST_00320,50,Male,South,Budget,4.12,4.7,2023-11-28,2023-02-13
CUST_00321,28,Male,East,Budget,4.01,5.5,2023-05-18,2024-07-12
CUST_00322,33,Male,West,Standard,3.95,6.1,2024-02-04,2024-06-04
CUST_00323,29,Female,North,Premium,11.25,9.1,2024-06-11,2024-04-21
CUST_00324,66,Female,North,Premium,8.58,8.0,2024-10-23,2023-10-07
CUST_00325,41,Female,West,Standard,7.77,10.0,2023-10-23,2023-01-22
CUST_00326,18,Male,East,Budget,4.98,8.9,2024-08-28,2023-08-01
CUST_00327,31,Male,North,Premium,5.17,7.1,2024-12-07,2023-08-25
CUST_00328,49,Female,East,Budget,1.87,3.7,2024-06-21,2023-07-28
CUST_00329,18,Female,South,Premium,14.91,8.5,2024-08-06,2024-03-11
CUST_00330,48,Male,North,Budget,5.6,3.4,2024-10-06,2023-10-09
CUST_00331,52,Male,South,Premium,5.08,8.2,2023-03-11,2024-02-16
CUST_00332,36,Female,South,Premium,41.61,7.8,2024-04-25,2023-12-02
CUST_00333,39,Female,East,Budget,2.51,7.9,2024-05-24,2024-05-19
CUST_00334,35,Male,West,Budget,3.05,6.8,2023-07-02,2023-02-09
CUST_00335,46,Female,East,Standard,3.06,5.7,2024-02-13,2024-05-24
CUST_00336,76,Female,North,Standard,7.7,7.5,2023-12-16,2024-02-09
CUST_00337,38,Male,West,Premium,5.92,7.4,2023-11-17,2023-07-13
CUST_00338,63,Male,South,Standard,4.55,5.4,2023-01-25,2024-07-21
CUST_00339,35,Female,North,Standard,4.32,6.4,2023-11-05,2023-02-13
CUST_00340,81,Male,North,Budget,2.91,5.4,2023-07-28,2024-07-28
CUST_00341,21,Female,South,Standard,2.25,7.0,2023-10-30,2023-07-25
CUST_00342,27,Male,West,Standard,12.46,5.8,2023-03-15,2023-11-18
CUST_00343,40,Male,North,Budget,1.94,6.5,2023-04-18,2024-05-04
CUST_00344,46,Male,South,Premium,9.96,10.0,2023-08-08,2024-07-22
CUST_00345,56,Female,South,Premium,7.55,9.0,2024-04-16,2023-04-21
CUST_00346,26,Male,South,Standard,3.94,6.7,2023-08-12,2023-07-08
CUST_00347,18,Female,East,Standard,2.67,5.3,2024-02-16,2023-11-01
